OC_ANO,OC_MES,OC_DIA_SEMANA,OC_DIA_SEMANA_TXT,OC_DIA,OC_PERIODO_DIA,OC_PERIODO_DIA_TXT,OC_BAIRRO,OC_BAIRRO_TXT,OC_SUBCATEGORIA,OC_SUBCATEGORIA_TXT
2015,7,7,7-SABADO,4,1,1-MANHA,10,ALTO DA GLÓRIA,4,Pichação
2020,2,2,2-SEGUNDA,24,1,1-MANHA,5,CENTRO,9,Uso de substância ilícita
2020,3,4,4-QUARTA,11,2,2-TARDE,14,GANCHINHO,10,Estacionamento irregular
2015,8,3,3-TERCA,18,3,3-NOITE,8,FAZENDINHA,5,Vandalismo
2019,6,1,1-DOMINGO,30,2,2-TARDE,53,GUAÍRA,5,Vandalismo
2015,6,4,4-QUARTA,24,3,3-NOITE,64,BIGORRILHO,1,Transporte Coletivo
2017,7,7,7-SABADO,1,3,3-NOITE,26,CAMPO COMPRIDO,1,Transporte Coletivo
2015,5,4,4-QUARTA,20,1,1-MANHA,4,TATUQUARA,5,Vandalismo
2020,1,6,6-SEXTA,17,2,2-TARDE,5,CENTRO,1,Transporte Coletivo
2018,5,4,4-QUARTA,23,4,4-MADRUGADA,39,CAMPO DE SANTANA,7,Invasão de equipamento/patrimônio público
2016,10,7,7-SABADO,22,3,3-NOITE,35,SANTA CÂNDIDA,6,Arrombamento
2016,1,2,2-SEGUNDA,18,4,4-MADRUGADA,12,ALTO BOQUEIRÃO,6,Arrombamento
2016,3,1,1-DOMINGO,13,3,3-NOITE,59,PRADO VELHO,8,Desordem
2019,10,4,4-QUARTA,2,3,3-NOITE,28,PORTÃO,5,Vandalismo
2020,11,1,1-DOMINGO,1,3,3-NOITE,9,CIDADE INDUSTRIAL,8,Desordem
2017,3,5,5-QUINTA,23,2,2-TARDE,5,CENTRO,9,Uso de substância ilícita
2015,6,1,1-DOMINGO,21,2,2-TARDE,41,BACACHERI,9,Uso de substância ilícita
2018,12,4,4-QUARTA,12,3,3-NOITE,35,SANTA CÂNDIDA,10,Estacionamento irregular
2019,8,2,2-SEGUNDA,26,1,1-MANHA,5,CENTRO,10,Estacionamento irregular
2016,7,5,5-QUINTA,7,2,2-TARDE,25,SÍTIO CERCADO,1,Transporte Coletivo
2017,1,1,1-DOMINGO,29,3,3-NOITE,4,TATUQUARA,6,Arrombamento
2015,9,1,1-DOMINGO,13,3,3-NOITE,45,ÁGUA VERDE,1,Transporte Coletivo
2020,5,6,6-SEXTA,22,1,1-MANHA,4,TATUQUARA,7,Invasão de equipamento/patrimônio público
2020,3,1,1-DOMINGO,29,2,2-TARDE,25,SÍTIO CERCADO,7,Invasão de equipamento/patrimônio público
2018,4,7,7-SABADO,28,3,3-NOITE,28,PORTÃO,9,Uso de substância ilícita
2015,5,5,5-QUINTA,7,3,3-NOITE,62,JARDIM DAS AMÉRICAS,9,Uso de substância ilícita
2018,11,2,2-SEGUNDA,12,4,4-MADRUGADA,30,CAJURU,1,Transporte Coletivo
2020,11,1,1-DOMINGO,1,2,2-TARDE,3,PINHEIRINHO,9,Uso de substância ilícita
2015,7,2,2-SEGUNDA,20,3,3-NOITE,5,CENTRO,5,Vandalismo
2018,11,3,3-TERCA,20,3,3-NOITE,18,NOVO MUNDO,10,Estacionamento irregular
2016,4,3,3-TERCA,19,2,2-TARDE,55,SANTA FELICIDADE,9,Uso de substância ilícita
2016,6,5,5-QUINTA,9,2,2-TARDE,60,VILA IZABEL,9,Uso de substância ilícita
2018,7,5,5-QUINTA,5,2,2-TARDE,5,CENTRO,9,Uso de substância ilícita
2018,11,5,5-QUINTA,29,3,3-NOITE,28,PORTÃO,8,Desordem
2015,1,4,4-QUARTA,7,1,1-MANHA,42,ATUBA,7,Invasão de equipamento/patrimônio público
2020,10,1,1-DOMINGO,18,2,2-TARDE,9,CIDADE INDUSTRIAL,4,Pichação
2015,8,1,1-DOMINGO,30,3,3-NOITE,9,CIDADE INDUSTRIAL,3,Disparo de Alarme (violação)
2018,5,2,2-SEGUNDA,21,1,1-MANHA,49,AHÚ,9,Uso de substância ilícita
2017,8,5,5-QUINTA,31,2,2-TARDE,12,ALTO BOQUEIRÃO,1,Transporte Coletivo
2019,11,3,3-TERCA,26,1,1-MANHA,63,SÃO MIGUEL,5,Vandalismo
2016,3,1,1-DOMINGO,6,3,3-NOITE,13,CAPÃO DA IMBUIA,4,Pichação
2020,6,1,1-DOMINGO,21,1,1-MANHA,24,SANTO INÁCIO,10,Estacionamento irregular
2020,1,1,1-DOMINGO,5,2,2-TARDE,9,CIDADE INDUSTRIAL,7,Invasão de equipamento/patrimônio público
2020,5,6,6-SEXTA,22,1,1-MANHA,27,SÃO BRAZ,10,Estacionamento irregular
2015,6,7,7-SABADO,27,2,2-TARDE,31,UBERABA,7,Invasão de equipamento/patrimônio público
2017,5,6,6-SEXTA,26,3,3-NOITE,4,TATUQUARA,5,Vandalismo
2015,5,5,5-QUINTA,21,4,4-MADRUGADA,30,CAJURU,4,Pichação
2016,11,6,6-SEXTA,25,3,3-NOITE,3,PINHEIRINHO,1,Transporte Coletivo
2019,7,1,1-DOMINGO,21,2,2-TARDE,63,SÃO MIGUEL,10,Estacionamento irregular
2018,11,7,7-SABADO,3,2,2-TARDE,5,CENTRO,9,Uso de substância ilícita
2016,9,6,6-SEXTA,9,3,3-NOITE,10,ALTO DA GLÓRIA,1,Transporte Coletivo
2017,4,7,7-SABADO,1,3,3-NOITE,28,PORTÃO,6,Arrombamento
2017,5,6,6-SEXTA,26,2,2-TARDE,40,JARDIM BOTÂNICO,9,Uso de substância ilícita
2019,10,3,3-TERCA,29,4,4-MADRUGADA,40,JARDIM BOTÂNICO,5,Vandalismo
2018,6,7,7-SABADO,23,3,3-NOITE,19,BOQUEIRÃO,3,Disparo de Alarme (violação)
2017,1,3,3-TERCA,10,2,2-TARDE,5,CENTRO,5,Vandalismo
2015,2,2,2-SEGUNDA,2,3,3-NOITE,5,CENTRO,4,Pichação
2020,4,2,2-SEGUNDA,27,2,2-TARDE,29,BUTIATUVINHA,10,Estacionamento irregular
2019,7,3,3-TERCA,9,1,1-MANHA,7,REBOUÇAS,9,Uso de substância ilícita
2015,9,7,7-SABADO,12,1,1-MANHA,54,BARREIRINHA,5,Vandalismo
2016,10,2,2-SEGUNDA,3,4,4-MADRUGADA,4,TATUQUARA,3,Disparo de Alarme (violação)
2017,12,3,3-TERCA,26,3,3-NOITE,9,CIDADE INDUSTRIAL,7,Invasão de equipamento/patrimônio público
2017,1,5,5-QUINTA,26,2,2-TARDE,23,SÃO FRANCISCO,9,Uso de substância ilícita
2020,4,4,4-QUARTA,29,3,3-NOITE,39,CAMPO DE SANTANA,10,Estacionamento irregular
2016,11,5,5-QUINTA,3,2,2-TARDE,30,CAJURU,4,Pichação
2017,7,7,7-SABADO,22,4,4-MADRUGADA,45,ÁGUA VERDE,6,Arrombamento
2018,4,3,3-TERCA,10,3,3-NOITE,5,CENTRO,8,Desordem
2016,10,4,4-QUARTA,26,3,3-NOITE,3,PINHEIRINHO,1,Transporte Coletivo
2019,4,2,2-SEGUNDA,15,2,2-TARDE,7,REBOUÇAS,8,Desordem
2019,1,7,7-SABADO,12,3,3-NOITE,19,BOQUEIRÃO,10,Estacionamento irregular
2019,12,7,7-SABADO,7,2,2-TARDE,23,SÃO FRANCISCO,9,Uso de substância ilícita
2020,6,7,7-SABADO,20,1,1-MANHA,71,CACHOEIRA,10,Estacionamento irregular
2016,9,2,2-SEGUNDA,26,2,2-TARDE,1,XAXIM,9,Uso de substância ilícita
2019,11,6,6-SEXTA,15,2,2-TARDE,5,CENTRO,9,Uso de substância ilícita
2018,11,5,5-QUINTA,15,3,3-NOITE,42,ATUBA,6,Arrombamento
2020,3,1,1-DOMINGO,15,2,2-TARDE,52,MOSSUNGUÊ,10,Estacionamento irregular
2019,1,2,2-SEGUNDA,28,3,3-NOITE,4,TATUQUARA,5,Vandalismo
2019,5,5,5-QUINTA,23,3,3-NOITE,12,ALTO BOQUEIRÃO,5,Vandalismo
2015,7,4,4-QUARTA,8,3,3-NOITE,12,ALTO BOQUEIRÃO,9,Uso de substância ilícita
2016,5,5,5-QUINTA,12,3,3-NOITE,9,CIDADE INDUSTRIAL,7,Invasão de equipamento/patrimônio público
2015,12,4,4-QUARTA,16,4,4-MADRUGADA,1,XAXIM,3,Disparo de Alarme (violação)
2015,7,4,4-QUARTA,8,2,2-TARDE,8,FAZENDINHA,8,Desordem
2018,8,6,6-SEXTA,31,2,2-TARDE,5,CENTRO,9,Uso de substância ilícita
2015,1,2,2-SEGUNDA,5,2,2-TARDE,37,FANNY,1,Transporte Coletivo
2015,10,7,7-SABADO,31,4,4-MADRUGADA,5,CENTRO,7,Invasão de equipamento/patrimônio público
2016,6,3,3-TERCA,7,3,3-NOITE,31,UBERABA,7,Invasão de equipamento/patrimônio público
2020,12,7,7-SABADO,5,2,2-TARDE,51,SÃO LOURENÇO,10,Estacionamento irregular
2018,12,2,2-SEGUNDA,24,4,4-MADRUGADA,9,CIDADE INDUSTRIAL,5,Vandalismo
2017,1,2,2-SEGUNDA,30,2,2-TARDE,28,PORTÃO,7,Invasão de equipamento/patrimônio público
2019,11,6,6-SEXTA,1,2,2-TARDE,64,BIGORRILHO,5,Vandalismo
2017,10,1,1-DOMINGO,22,3,3-NOITE,4,TATUQUARA,3,Disparo de Alarme (violação)
2015,7,5,5-QUINTA,30,4,4-MADRUGADA,21,CAMPINA DO SIQUEIRA,5,Vandalismo
2019,5,7,7-SABADO,25,1,1-MANHA,32,BATEL,10,Estacionamento irregular
2018,3,2,2-SEGUNDA,5,4,4-MADRUGADA,42,ATUBA,6,Arrombamento
2020,4,7,7-SABADO,11,3,3-NOITE,23,SÃO FRANCISCO,9,Uso de substância ilícita
2015,9,2,2-SEGUNDA,21,2,2-TARDE,23,SÃO FRANCISCO,9,Uso de substância ilícita
2018,8,7,7-SABADO,4,3,3-NOITE,18,NOVO MUNDO,10,Estacionamento irregular
2015,2,2,2-SEGUNDA,16,3,3-NOITE,25,SÍTIO CERCADO,7,Invasão de equipamento/patrimônio público
2018,12,4,4-QUARTA,5,2,2-TARDE,45,ÁGUA VERDE,1,Transporte Coletivo
2020,9,7,7-SABADO,12,3,3-NOITE,25,SÍTIO CERCADO,1,Transporte Coletivo
2020,5,4,4-QUARTA,20,1,1-MANHA,18,NOVO MUNDO,10,Estacionamento irregular
2017,1,1,1-DOMINGO,22,2,2-TARDE,55,SANTA FELICIDADE,6,Arrombamento
2020,11,3,3-TERCA,3,1,1-MANHA,23,SÃO FRANCISCO,5,Vandalismo
2020,11,2,2-SEGUNDA,2,2,2-TARDE,30,CAJURU,10,Estacionamento irregular
2018,5,4,4-QUARTA,9,2,2-TARDE,19,BOQUEIRÃO,8,Desordem
2020,5,4,4-QUARTA,13,3,3-NOITE,15,CAPÃO RASO,10,Estacionamento irregular
2017,12,1,1-DOMINGO,17,3,3-NOITE,30,CAJURU,6,Arrombamento
2015,12,4,4-QUARTA,2,1,1-MANHA,12,ALTO BOQUEIRÃO,1,Transporte Coletivo
2019,12,7,7-SABADO,14,2,2-TARDE,5,CENTRO,5,Vandalismo
2019,1,2,2-SEGUNDA,28,2,2-TARDE,19,BOQUEIRÃO,4,Pichação
2017,3,5,5-QUINTA,2,1,1-MANHA,62,JARDIM DAS AMÉRICAS,8,Desordem
2020,3,6,6-SEXTA,20,2,2-TARDE,58,MERCÊS,5,Vandalismo
2016,5,3,3-TERCA,3,2,2-TARDE,19,BOQUEIRÃO,1,Transporte Coletivo
2019,2,1,1-DOMINGO,10,2,2-TARDE,3,PINHEIRINHO,6,Arrombamento
2016,9,1,1-DOMINGO,4,2,2-TARDE,3,PINHEIRINHO,5,Vandalismo
2017,4,2,2-SEGUNDA,10,3,3-NOITE,25,SÍTIO CERCADO,7,Invasão de equipamento/patrimônio público
2020,3,7,7-SABADO,7,2,2-TARDE,1,XAXIM,10,Estacionamento irregular
2020,9,1,1-DOMINGO,13,2,2-TARDE,57,TABOÃO,10,Estacionamento irregular
2016,7,3,3-TERCA,5,1,1-MANHA,25,SÍTIO CERCADO,1,Transporte Coletivo
2018,4,3,3-TERCA,3,3,3-NOITE,64,BIGORRILHO,5,Vandalismo
2020,11,7,7-SABADO,14,2,2-TARDE,15,CAPÃO RASO,10,Estacionamento irregular
2020,8,2,2-SEGUNDA,17,2,2-TARDE,9,CIDADE INDUSTRIAL,10,Estacionamento irregular
2017,5,2,2-SEGUNDA,1,2,2-TARDE,9,CIDADE INDUSTRIAL,5,Vandalismo
2015,4,6,6-SEXTA,24,3,3-NOITE,1,XAXIM,1,Transporte Coletivo
2020,8,5,5-QUINTA,13,3,3-NOITE,26,CAMPO COMPRIDO,10,Estacionamento irregular
2020,5,5,5-QUINTA,28,1,1-MANHA,9,CIDADE INDUSTRIAL,10,Estacionamento irregular
2015,5,7,7-SABADO,23,2,2-TARDE,50,CABRAL,8,Desordem
2019,2,4,4-QUARTA,6,1,1-MANHA,25,SÍTIO CERCADO,1,Transporte Coletivo
2020,4,1,1-DOMINGO,26,2,2-TARDE,47,VISTA ALEGRE,10,Estacionamento irregular
2015,4,6,6-SEXTA,24,3,3-NOITE,24,SANTO INÁCIO,9,Uso de substância ilícita
2016,4,2,2-SEGUNDA,4,3,3-NOITE,12,ALTO BOQUEIRÃO,8,Desordem
2016,4,1,1-DOMINGO,3,2,2-TARDE,2,ALTO DA RUA XV,5,Vandalismo
2015,5,4,4-QUARTA,6,1,1-MANHA,42,ATUBA,9,Uso de substância ilícita
2016,3,5,5-QUINTA,24,4,4-MADRUGADA,11,PAROLIN,8,Desordem
2018,7,4,4-QUARTA,4,3,3-NOITE,52,MOSSUNGUÊ,1,Transporte Coletivo
2016,12,6,6-SEXTA,30,3,3-NOITE,26,CAMPO COMPRIDO,7,Invasão de equipamento/patrimônio público
2020,4,4,4-QUARTA,15,3,3-NOITE,56,TINGUI,10,Estacionamento irregular
2017,8,7,7-SABADO,12,4,4-MADRUGADA,22,SANTA QUITÉRIA,5,Vandalismo
2018,6,2,2-SEGUNDA,25,3,3-NOITE,19,BOQUEIRÃO,6,Arrombamento
2018,12,7,7-SABADO,22,1,1-MANHA,5,CENTRO,10,Estacionamento irregular
2020,2,6,6-SEXTA,21,3,3-NOITE,19,BOQUEIRÃO,1,Transporte Coletivo
2020,11,7,7-SABADO,21,2,2-TARDE,25,SÍTIO CERCADO,2,Cão solto em via pública
2018,1,1,1-DOMINGO,7,3,3-NOITE,28,PORTÃO,8,Desordem
2018,11,1,1-DOMINGO,11,4,4-MADRUGADA,38,BOA VISTA,7,Invasão de equipamento/patrimônio público
2017,5,5,5-QUINTA,11,3,3-NOITE,40,JARDIM BOTÂNICO,7,Invasão de equipamento/patrimônio público
2015,6,7,7-SABADO,20,2,2-TARDE,9,CIDADE INDUSTRIAL,3,Disparo de Alarme (violação)
2018,3,7,7-SABADO,24,4,4-MADRUGADA,39,CAMPO DE SANTANA,6,Arrombamento
2017,12,1,1-DOMINGO,17,2,2-TARDE,44,AUGUSTA,9,Uso de substância ilícita
2018,6,7,7-SABADO,30,2,2-TARDE,45,ÁGUA VERDE,10,Estacionamento irregular
2015,6,6,6-SEXTA,5,1,1-MANHA,64,BIGORRILHO,9,Uso de substância ilícita
2020,2,6,6-SEXTA,14,1,1-MANHA,17,GUABIROTUBA,4,Pichação
2015,7,5,5-QUINTA,30,3,3-NOITE,40,JARDIM BOTÂNICO,1,Transporte Coletivo
2018,11,5,5-QUINTA,1,3,3-NOITE,9,CIDADE INDUSTRIAL,7,Invasão de equipamento/patrimônio público
2020,6,6,6-SEXTA,19,1,1-MANHA,41,BACACHERI,9,Uso de substância ilícita
2015,4,1,1-DOMINGO,26,2,2-TARDE,1,XAXIM,1,Transporte Coletivo
2019,1,7,7-SABADO,19,1,1-MANHA,30,CAJURU,9,Uso de substância ilícita
2019,11,6,6-SEXTA,22,4,4-MADRUGADA,18,NOVO MUNDO,10,Estacionamento irregular
2016,1,6,6-SEXTA,1,4,4-MADRUGADA,32,BATEL,8,Desordem
2016,4,3,3-TERCA,19,2,2-TARDE,4,TATUQUARA,5,Vandalismo
2016,2,2,2-SEGUNDA,15,3,3-NOITE,59,PRADO VELHO,1,Transporte Coletivo
2018,3,3,3-TERCA,20,2,2-TARDE,16,LINDÓIA,1,Transporte Coletivo
2017,8,1,1-DOMINGO,13,4,4-MADRUGADA,7,REBOUÇAS,5,Vandalismo
2020,8,2,2-SEGUNDA,3,2,2-TARDE,28,PORTÃO,10,Estacionamento irregular
2015,4,2,2-SEGUNDA,13,2,2-TARDE,16,LINDÓIA,9,Uso de substância ilícita
2020,2,1,1-DOMINGO,23,1,1-MANHA,23,SÃO FRANCISCO,9,Uso de substância ilícita
2016,4,3,3-TERCA,19,2,2-TARDE,12,ALTO BOQUEIRÃO,9,Uso de substância ilícita
2015,8,2,2-SEGUNDA,17,2,2-TARDE,5,CENTRO,9,Uso de substância ilícita
2017,8,3,3-TERCA,22,2,2-TARDE,25,SÍTIO CERCADO,1,Transporte Coletivo
2020,6,6,6-SEXTA,19,2,2-TARDE,18,NOVO MUNDO,10,Estacionamento irregular
2016,9,1,1-DOMINGO,18,2,2-TARDE,25,SÍTIO CERCADO,5,Vandalismo
2015,1,3,3-TERCA,20,1,1-MANHA,16,LINDÓIA,6,Arrombamento
2020,4,5,5-QUINTA,23,1,1-MANHA,18,NOVO MUNDO,10,Estacionamento irregular
2018,11,3,3-TERCA,27,2,2-TARDE,23,SÃO FRANCISCO,9,Uso de substância ilícita
2015,11,2,2-SEGUNDA,16,2,2-TARDE,18,NOVO MUNDO,4,Pichação
2020,1,6,6-SEXTA,3,2,2-TARDE,9,CIDADE INDUSTRIAL,7,Invasão de equipamento/patrimônio público
2017,4,1,1-DOMINGO,23,3,3-NOITE,5,CENTRO,1,Transporte Coletivo
2018,1,4,4-QUARTA,3,1,1-MANHA,38,BOA VISTA,6,Arrombamento
2018,7,3,3-TERCA,24,2,2-TARDE,36,BAIRRO ALTO,8,Desordem
2015,4,7,7-SABADO,18,4,4-MADRUGADA,15,CAPÃO RASO,5,Vandalismo
2019,9,3,3-TERCA,10,3,3-NOITE,30,CAJURU,9,Uso de substância ilícita
2019,4,7,7-SABADO,6,2,2-TARDE,5,CENTRO,9,Uso de substância ilícita
2020,8,6,6-SEXTA,7,2,2-TARDE,30,CAJURU,10,Estacionamento irregular
2015,5,6,6-SEXTA,15,1,1-MANHA,68,HUGO LANGE,4,Pichação
2016,2,3,3-TERCA,9,3,3-NOITE,2,ALTO DA RUA XV,5,Vandalismo
2017,1,6,6-SEXTA,27,3,3-NOITE,64,BIGORRILHO,1,Transporte Coletivo
2020,9,1,1-DOMINGO,27,2,2-TARDE,26,CAMPO COMPRIDO,7,Invasão de equipamento/patrimônio público
2019,12,2,2-SEGUNDA,23,4,4-MADRUGADA,25,SÍTIO CERCADO,7,Invasão de equipamento/patrimônio público
2017,10,4,4-QUARTA,18,3,3-NOITE,26,CAMPO COMPRIDO,1,Transporte Coletivo
2015,10,2,2-SEGUNDA,19,4,4-MADRUGADA,55,SANTA FELICIDADE,7,Invasão de equipamento/patrimônio público
2016,10,6,6-SEXTA,7,3,3-NOITE,25,SÍTIO CERCADO,5,Vandalismo
2020,4,3,3-TERCA,14,2,2-TARDE,38,BOA VISTA,8,Desordem
2019,11,7,7-SABADO,2,4,4-MADRUGADA,45,ÁGUA VERDE,8,Desordem
2019,3,4,4-QUARTA,13,1,1-MANHA,25,SÍTIO CERCADO,1,Transporte Coletivo
2019,4,6,6-SEXTA,19,4,4-MADRUGADA,23,SÃO FRANCISCO,4,Pichação
2019,7,2,2-SEGUNDA,1,3,3-NOITE,13,CAPÃO DA IMBUIA,5,Vandalismo
2015,8,7,7-SABADO,8,4,4-MADRUGADA,9,CIDADE INDUSTRIAL,4,Pichação
2017,7,6,6-SEXTA,28,1,1-MANHA,23,SÃO FRANCISCO,9,Uso de substância ilícita
2017,6,5,5-QUINTA,29,3,3-NOITE,5,CENTRO,9,Uso de substância ilícita
2020,5,4,4-QUARTA,6,1,1-MANHA,56,TINGUI,10,Estacionamento irregular
2020,1,3,3-TERCA,14,2,2-TARDE,25,SÍTIO CERCADO,7,Invasão de equipamento/patrimônio público
2017,5,7,7-SABADO,20,3,3-NOITE,9,CIDADE INDUSTRIAL,6,Arrombamento
2018,6,7,7-SABADO,30,3,3-NOITE,5,CENTRO,5,Vandalismo
2016,10,4,4-QUARTA,12,4,4-MADRUGADA,45,ÁGUA VERDE,1,Transporte Coletivo
2018,1,5,5-QUINTA,4,2,2-TARDE,36,BAIRRO ALTO,5,Vandalismo
2015,7,6,6-SEXTA,31,2,2-TARDE,23,SÃO FRANCISCO,9,Uso de substância ilícita
2018,2,1,1-DOMINGO,11,2,2-TARDE,38,BOA VISTA,1,Transporte Coletivo
2017,5,7,7-SABADO,6,3,3-NOITE,5,CENTRO,9,Uso de substância ilícita
2016,4,4,4-QUARTA,13,4,4-MADRUGADA,30,CAJURU,8,Desordem
2016,4,2,2-SEGUNDA,18,3,3-NOITE,26,CAMPO COMPRIDO,8,Desordem
2018,4,7,7-SABADO,14,2,2-TARDE,8,FAZENDINHA,10,Estacionamento irregular
2017,7,7,7-SABADO,29,3,3-NOITE,52,MOSSUNGUÊ,1,Transporte Coletivo
2020,4,2,2-SEGUNDA,27,1,1-MANHA,15,CAPÃO RASO,10,Estacionamento irregular
2015,7,2,2-SEGUNDA,13,2,2-TARDE,9,CIDADE INDUSTRIAL,4,Pichação
2020,8,4,4-QUARTA,26,2,2-TARDE,36,BAIRRO ALTO,10,Estacionamento irregular
2017,1,4,4-QUARTA,11,1,1-MANHA,25,SÍTIO CERCADO,6,Arrombamento
2015,3,3,3-TERCA,24,4,4-MADRUGADA,38,BOA VISTA,1,Transporte Coletivo
2018,8,2,2-SEGUNDA,6,2,2-TARDE,7,REBOUÇAS,10,Estacionamento irregular
2020,11,4,4-QUARTA,25,4,4-MADRUGADA,31,UBERABA,7,Invasão de equipamento/patrimônio público
2015,12,2,2-SEGUNDA,7,3,3-NOITE,17,GUABIROTUBA,4,Pichação
2017,6,3,3-TERCA,20,3,3-NOITE,13,CAPÃO DA IMBUIA,1,Transporte Coletivo
2017,9,7,7-SABADO,9,2,2-TARDE,25,SÍTIO CERCADO,5,Vandalismo
2018,10,4,4-QUARTA,17,2,2-TARDE,5,CENTRO,9,Uso de substância ilícita
2020,8,3,3-TERCA,25,3,3-NOITE,36,BAIRRO ALTO,9,Uso de substância ilícita
2018,9,4,4-QUARTA,26,3,3-NOITE,5,CENTRO,1,Transporte Coletivo
2019,12,2,2-SEGUNDA,30,3,3-NOITE,46,CRISTO REI,1,Transporte Coletivo
2020,6,1,1-DOMINGO,14,2,2-TARDE,35,SANTA CÂNDIDA,10,Estacionamento irregular
2019,12,3,3-TERCA,17,1,1-MANHA,46,CRISTO REI,7,Invasão de equipamento/patrimônio público
2018,1,2,2-SEGUNDA,15,2,2-TARDE,4,TATUQUARA,6,Arrombamento
2016,7,5,5-QUINTA,28,2,2-TARDE,5,CENTRO,9,Uso de substância ilícita
2020,10,3,3-TERCA,27,1,1-MANHA,5,CENTRO,9,Uso de substância ilícita
2018,8,1,1-DOMINGO,5,3,3-NOITE,59,PRADO VELHO,1,Transporte Coletivo
2018,2,2,2-SEGUNDA,26,1,1-MANHA,5,CENTRO,9,Uso de substância ilícita
2020,9,2,2-SEGUNDA,21,2,2-TARDE,5,CENTRO,9,Uso de substância ilícita
2015,5,1,1-DOMINGO,24,2,2-TARDE,49,AHÚ,4,Pichação
2020,5,6,6-SEXTA,22,2,2-TARDE,9,CIDADE INDUSTRIAL,10,Estacionamento irregular
2019,6,2,2-SEGUNDA,10,1,1-MANHA,39,CAMPO DE SANTANA,7,Invasão de equipamento/patrimônio público
2016,4,6,6-SEXTA,29,4,4-MADRUGADA,4,TATUQUARA,3,Disparo de Alarme (violação)
2020,2,5,5-QUINTA,13,2,2-TARDE,12,ALTO BOQUEIRÃO,9,Uso de substância ilícita
2020,7,3,3-TERCA,14,2,2-TARDE,3,PINHEIRINHO,7,Invasão de equipamento/patrimônio público
2019,4,2,2-SEGUNDA,1,2,2-TARDE,11,PAROLIN,7,Invasão de equipamento/patrimônio público
2017,1,2,2-SEGUNDA,23,4,4-MADRUGADA,45,ÁGUA VERDE,4,Pichação
2019,10,2,2-SEGUNDA,21,2,2-TARDE,20,CENTRO CÍVICO,5,Vandalismo
2020,10,2,2-SEGUNDA,5,3,3-NOITE,35,SANTA CÂNDIDA,9,Uso de substância ilícita
2020,7,5,5-QUINTA,2,3,3-NOITE,18,NOVO MUNDO,10,Estacionamento irregular
2019,6,7,7-SABADO,15,2,2-TARDE,23,SÃO FRANCISCO,9,Uso de substância ilícita
2017,9,4,4-QUARTA,13,4,4-MADRUGADA,5,CENTRO,8,Desordem
2020,12,5,5-QUINTA,3,4,4-MADRUGADA,7,REBOUÇAS,6,Arrombamento
2015,4,1,1-DOMINGO,19,3,3-NOITE,52,MOSSUNGUÊ,4,Pichação
2016,6,5,5-QUINTA,30,4,4-MADRUGADA,10,ALTO DA GLÓRIA,7,Invasão de equipamento/patrimônio público
2016,11,3,3-TERCA,8,3,3-NOITE,25,SÍTIO CERCADO,1,Transporte Coletivo
2015,11,4,4-QUARTA,4,3,3-NOITE,22,SANTA QUITÉRIA,3,Disparo de Alarme (violação)
2015,2,4,4-QUARTA,25,3,3-NOITE,32,BATEL,1,Transporte Coletivo
2017,9,4,4-QUARTA,6,4,4-MADRUGADA,13,CAPÃO DA IMBUIA,6,Arrombamento
2018,3,6,6-SEXTA,16,2,2-TARDE,5,CENTRO,9,Uso de substância ilícita
2019,11,1,1-DOMINGO,24,4,4-MADRUGADA,19,BOQUEIRÃO,6,Arrombamento
2019,9,1,1-DOMINGO,15,1,1-MANHA,39,CAMPO DE SANTANA,8,Desordem
2016,12,3,3-TERCA,27,1,1-MANHA,25,SÍTIO CERCADO,6,Arrombamento
2020,9,2,2-SEGUNDA,7,2,2-TARDE,24,SANTO INÁCIO,10,Estacionamento irregular
2020,5,1,1-DOMINGO,3,1,1-MANHA,39,CAMPO DE SANTANA,10,Estacionamento irregular
2020,7,1,1-DOMINGO,19,2,2-TARDE,66,JUVEVÊ,10,Estacionamento irregular
2015,11,6,6-SEXTA,13,2,2-TARDE,37,FANNY,2,Cão solto em via pública
2015,8,6,6-SEXTA,14,4,4-MADRUGADA,5,CENTRO,5,Vandalismo
2018,10,5,5-QUINTA,11,2,2-TARDE,63,SÃO MIGUEL,5,Vandalismo
2020,10,6,6-SEXTA,23,2,2-TARDE,5,CENTRO,9,Uso de substância ilícita
2019,6,3,3-TERCA,25,1,1-MANHA,12,ALTO BOQUEIRÃO,1,Transporte Coletivo
2016,8,6,6-SEXTA,19,1,1-MANHA,38,BOA VISTA,9,Uso de substância ilícita
2019,12,4,4-QUARTA,11,1,1-MANHA,5,CENTRO,9,Uso de substância ilícita
2016,12,1,1-DOMINGO,18,4,4-MADRUGADA,36,BAIRRO ALTO,4,Pichação
2016,5,1,1-DOMINGO,22,2,2-TARDE,37,FANNY,1,Transporte Coletivo
2018,2,6,6-SEXTA,23,2,2-TARDE,19,BOQUEIRÃO,4,Pichação
2019,10,7,7-SABADO,19,1,1-MANHA,24,SANTO INÁCIO,9,Uso de substância ilícita
2020,6,2,2-SEGUNDA,8,3,3-NOITE,3,PINHEIRINHO,10,Estacionamento irregular
2016,6,2,2-SEGUNDA,27,3,3-NOITE,12,ALTO BOQUEIRÃO,7,Invasão de equipamento/patrimônio público
2017,10,5,5-QUINTA,5,1,1-MANHA,36,BAIRRO ALTO,9,Uso de substância ilícita
2016,6,7,7-SABADO,18,2,2-TARDE,40,JARDIM BOTÂNICO,1,Transporte Coletivo
