OC_ANO,OC_MES,OC_DIA_SEMANA,OC_DIA_SEMANA_TXT,OC_DIA,OC_PERIODO_DIA,OC_PERIODO_DIA_TXT,OC_BAIRRO,OC_BAIRRO_TXT,OC_SUBCATEGORIA,OC_SUBCATEGORIA_TXT
2018,6,1,1-DOMINGO,24,3,3-NOITE,47,VISTA ALEGRE,10,Estacionamento irregular
2020,11,3,3-TERCA,24,2,2-TARDE,69,UMBARÁ,6,Arrombamento
2018,1,1,1-DOMINGO,14,2,2-TARDE,39,CAMPO DE SANTANA,6,Arrombamento
2015,7,4,4-QUARTA,22,3,3-NOITE,4,TATUQUARA,3,Disparo de Alarme (violação)
2017,6,3,3-TERCA,13,2,2-TARDE,8,FAZENDINHA,5,Vandalismo
2019,2,2,2-SEGUNDA,11,3,3-NOITE,28,PORTÃO,5,Vandalismo
2015,3,7,7-SABADO,14,4,4-MADRUGADA,5,CENTRO,4,Pichação
2015,3,6,6-SEXTA,13,3,3-NOITE,8,FAZENDINHA,1,Transporte Coletivo
2018,6,1,1-DOMINGO,10,2,2-TARDE,61,TARUMÃ,10,Estacionamento irregular
2015,5,1,1-DOMINGO,10,4,4-MADRUGADA,19,BOQUEIRÃO,5,Vandalismo
2015,6,3,3-TERCA,23,3,3-NOITE,9,CIDADE INDUSTRIAL,3,Disparo de Alarme (violação)
2019,2,6,6-SEXTA,15,4,4-MADRUGADA,30,CAJURU,7,Invasão de equipamento/patrimônio público
2020,6,4,4-QUARTA,10,3,3-NOITE,55,SANTA FELICIDADE,10,Estacionamento irregular
2016,4,1,1-DOMINGO,24,4,4-MADRUGADA,3,PINHEIRINHO,6,Arrombamento
2017,6,1,1-DOMINGO,4,2,2-TARDE,4,TATUQUARA,7,Invasão de equipamento/patrimônio público
2019,8,2,2-SEGUNDA,12,3,3-NOITE,1,XAXIM,5,Vandalismo
2016,6,3,3-TERCA,14,3,3-NOITE,46,CRISTO REI,1,Transporte Coletivo
2019,2,7,7-SABADO,2,3,3-NOITE,30,CAJURU,3,Disparo de Alarme (violação)
2020,12,1,1-DOMINGO,27,2,2-TARDE,14,GANCHINHO,7,Invasão de equipamento/patrimônio público
2017,4,6,6-SEXTA,28,4,4-MADRUGADA,38,BOA VISTA,3,Disparo de Alarme (violação)
2017,10,2,2-SEGUNDA,30,3,3-NOITE,19,BOQUEIRÃO,7,Invasão de equipamento/patrimônio público
2020,2,2,2-SEGUNDA,24,3,3-NOITE,3,PINHEIRINHO,5,Vandalismo
2019,7,2,2-SEGUNDA,1,1,1-MANHA,51,SÃO LOURENÇO,2,Cão solto em via pública
2015,6,2,2-SEGUNDA,15,3,3-NOITE,1,XAXIM,1,Transporte Coletivo
2018,11,5,5-QUINTA,1,3,3-NOITE,28,PORTÃO,10,Estacionamento irregular
2016,2,2,2-SEGUNDA,15,3,3-NOITE,35,SANTA CÂNDIDA,7,Invasão de equipamento/patrimônio público
2018,8,1,1-DOMINGO,26,3,3-NOITE,19,BOQUEIRÃO,10,Estacionamento irregular
2016,12,6,6-SEXTA,9,3,3-NOITE,9,CIDADE INDUSTRIAL,3,Disparo de Alarme (violação)
2018,4,7,7-SABADO,28,2,2-TARDE,25,SÍTIO CERCADO,7,Invasão de equipamento/patrimônio público
2017,8,2,2-SEGUNDA,28,1,1-MANHA,30,CAJURU,9,Uso de substância ilícita
2019,1,6,6-SEXTA,11,3,3-NOITE,31,UBERABA,10,Estacionamento irregular
2015,2,7,7-SABADO,21,2,2-TARDE,46,CRISTO REI,1,Transporte Coletivo
2019,2,7,7-SABADO,9,1,1-MANHA,5,CENTRO,9,Uso de substância ilícita
2018,9,1,1-DOMINGO,23,4,4-MADRUGADA,58,MERCÊS,8,Desordem
2018,7,2,2-SEGUNDA,16,3,3-NOITE,9,CIDADE INDUSTRIAL,7,Invasão de equipamento/patrimônio público
2015,5,7,7-SABADO,2,1,1-MANHA,25,SÍTIO CERCADO,1,Transporte Coletivo
2016,9,4,4-QUARTA,7,4,4-MADRUGADA,5,CENTRO,4,Pichação
2016,9,4,4-QUARTA,7,1,1-MANHA,26,CAMPO COMPRIDO,7,Invasão de equipamento/patrimônio público
2018,7,3,3-TERCA,24,4,4-MADRUGADA,25,SÍTIO CERCADO,6,Arrombamento
2016,3,5,5-QUINTA,31,3,3-NOITE,40,JARDIM BOTÂNICO,1,Transporte Coletivo
2016,6,6,6-SEXTA,17,3,3-NOITE,10,ALTO DA GLÓRIA,5,Vandalismo
2020,10,6,6-SEXTA,23,2,2-TARDE,9,CIDADE INDUSTRIAL,10,Estacionamento irregular
2017,4,7,7-SABADO,29,3,3-NOITE,63,SÃO MIGUEL,7,Invasão de equipamento/patrimônio público
2015,2,3,3-TERCA,10,4,4-MADRUGADA,11,PAROLIN,6,Arrombamento
2017,11,5,5-QUINTA,23,2,2-TARDE,25,SÍTIO CERCADO,7,Invasão de equipamento/patrimônio público
2019,6,2,2-SEGUNDA,24,4,4-MADRUGADA,23,SÃO FRANCISCO,7,Invasão de equipamento/patrimônio público
2018,3,5,5-QUINTA,15,1,1-MANHA,1,XAXIM,1,Transporte Coletivo
2016,3,7,7-SABADO,19,3,3-NOITE,25,SÍTIO CERCADO,1,Transporte Coletivo
2015,11,3,3-TERCA,3,2,2-TARDE,5,CENTRO,8,Desordem
2015,10,2,2-SEGUNDA,5,1,1-MANHA,19,BOQUEIRÃO,6,Arrombamento
2020,7,6,6-SEXTA,10,1,1-MANHA,5,CENTRO,9,Uso de substância ilícita
2017,3,5,5-QUINTA,16,3,3-NOITE,33,HAUER,8,Desordem
2018,10,5,5-QUINTA,25,2,2-TARDE,5,CENTRO,9,Uso de substância ilícita
2017,7,5,5-QUINTA,20,2,2-TARDE,39,CAMPO DE SANTANA,5,Vandalismo
2015,12,4,4-QUARTA,30,1,1-MANHA,19,BOQUEIRÃO,6,Arrombamento
2020,7,7,7-SABADO,25,2,2-TARDE,55,SANTA FELICIDADE,10,Estacionamento irregular
2016,10,1,1-DOMINGO,30,2,2-TARDE,3,PINHEIRINHO,5,Vandalismo
2015,3,2,2-SEGUNDA,9,3,3-NOITE,39,CAMPO DE SANTANA,2,Cão solto em via pública
2015,9,7,7-SABADO,26,2,2-TARDE,23,SÃO FRANCISCO,9,Uso de substância ilícita
2020,3,5,5-QUINTA,12,3,3-NOITE,62,JARDIM DAS AMÉRICAS,10,Estacionamento irregular
2018,12,4,4-QUARTA,12,2,2-TARDE,36,BAIRRO ALTO,4,Pichação
2015,11,6,6-SEXTA,6,2,2-TARDE,14,GANCHINHO,5,Vandalismo
2015,12,2,2-SEGUNDA,21,2,2-TARDE,24,SANTO INÁCIO,9,Uso de substância ilícita
2016,3,1,1-DOMINGO,6,4,4-MADRUGADA,35,SANTA CÂNDIDA,9,Uso de substância ilícita
2016,8,3,3-TERCA,16,4,4-MADRUGADA,25,SÍTIO CERCADO,1,Transporte Coletivo
2019,4,1,1-DOMINGO,7,1,1-MANHA,5,CENTRO,9,Uso de substância ilícita
2020,2,2,2-SEGUNDA,24,3,3-NOITE,2,ALTO DA RUA XV,1,Transporte Coletivo
2017,12,5,5-QUINTA,21,4,4-MADRUGADA,9,CIDADE INDUSTRIAL,3,Disparo de Alarme (violação)
2017,11,5,5-QUINTA,23,3,3-NOITE,6,ABRANCHES,6,Arrombamento
2018,10,4,4-QUARTA,3,3,3-NOITE,31,UBERABA,10,Estacionamento irregular
2020,7,6,6-SEXTA,3,1,1-MANHA,5,CENTRO,10,Estacionamento irregular
2019,1,3,3-TERCA,8,3,3-NOITE,6,ABRANCHES,7,Invasão de equipamento/patrimônio público
2019,10,3,3-TERCA,29,3,3-NOITE,30,CAJURU,7,Invasão de equipamento/patrimônio público
2020,2,3,3-TERCA,4,4,4-MADRUGADA,1,XAXIM,6,Arrombamento
2019,3,4,4-QUARTA,20,1,1-MANHA,4,TATUQUARA,7,Invasão de equipamento/patrimônio público
2018,8,4,4-QUARTA,15,2,2-TARDE,72,JARDIM SOCIAL,9,Uso de substância ilícita
2017,1,2,2-SEGUNDA,23,3,3-NOITE,35,SANTA CÂNDIDA,1,Transporte Coletivo
2016,2,4,4-QUARTA,10,4,4-MADRUGADA,25,SÍTIO CERCADO,5,Vandalismo
2020,5,6,6-SEXTA,29,2,2-TARDE,45,ÁGUA VERDE,9,Uso de substância ilícita
2020,6,2,2-SEGUNDA,8,1,1-MANHA,5,CENTRO,9,Uso de substância ilícita
2018,11,1,1-DOMINGO,11,4,4-MADRUGADA,30,CAJURU,10,Estacionamento irregular
2019,10,6,6-SEXTA,4,1,1-MANHA,5,CENTRO,9,Uso de substância ilícita
2015,7,6,6-SEXTA,31,4,4-MADRUGADA,69,UMBARÁ,7,Invasão de equipamento/patrimônio público
2019,7,2,2-SEGUNDA,1,4,4-MADRUGADA,7,REBOUÇAS,5,Vandalismo
2020,4,4,4-QUARTA,15,2,2-TARDE,25,SÍTIO CERCADO,10,Estacionamento irregular
2016,10,1,1-DOMINGO,16,3,3-NOITE,9,CIDADE INDUSTRIAL,6,Arrombamento
2015,4,3,3-TERCA,28,3,3-NOITE,12,ALTO BOQUEIRÃO,1,Transporte Coletivo
2020,5,7,7-SABADO,23,1,1-MANHA,25,SÍTIO CERCADO,10,Estacionamento irregular
2015,9,3,3-TERCA,22,2,2-TARDE,21,CAMPINA DO SIQUEIRA,8,Desordem
2015,4,2,2-SEGUNDA,13,3,3-NOITE,43,BOM RETIRO,4,Pichação
2016,11,4,4-QUARTA,23,3,3-NOITE,58,MERCÊS,1,Transporte Coletivo
2018,6,5,5-QUINTA,28,1,1-MANHA,9,CIDADE INDUSTRIAL,10,Estacionamento irregular
2016,7,1,1-DOMINGO,17,2,2-TARDE,27,SÃO BRAZ,4,Pichação
2019,12,4,4-QUARTA,4,2,2-TARDE,23,SÃO FRANCISCO,9,Uso de substância ilícita
2019,8,3,3-TERCA,20,2,2-TARDE,64,BIGORRILHO,9,Uso de substância ilícita
2018,3,3,3-TERCA,27,3,3-NOITE,56,TINGUI,1,Transporte Coletivo
2019,6,7,7-SABADO,29,2,2-TARDE,3,PINHEIRINHO,7,Invasão de equipamento/patrimônio público
2020,5,1,1-DOMINGO,24,2,2-TARDE,73,SEMINÁRIO,10,Estacionamento irregular
2016,1,6,6-SEXTA,22,1,1-MANHA,25,SÍTIO CERCADO,6,Arrombamento
2019,2,4,4-QUARTA,13,1,1-MANHA,5,CENTRO,5,Vandalismo
2019,12,3,3-TERCA,24,3,3-NOITE,25,SÍTIO CERCADO,5,Vandalismo
2016,2,1,1-DOMINGO,28,2,2-TARDE,31,UBERABA,4,Pichação
2015,10,7,7-SABADO,31,2,2-TARDE,25,SÍTIO CERCADO,7,Invasão de equipamento/patrimônio público
2016,1,1,1-DOMINGO,10,2,2-TARDE,12,ALTO BOQUEIRÃO,1,Transporte Coletivo
2016,2,3,3-TERCA,23,3,3-NOITE,12,ALTO BOQUEIRÃO,8,Desordem
2015,10,3,3-TERCA,13,3,3-NOITE,12,ALTO BOQUEIRÃO,5,Vandalismo
2019,6,1,1-DOMINGO,23,1,1-MANHA,30,CAJURU,10,Estacionamento irregular
2019,7,4,4-QUARTA,24,3,3-NOITE,23,SÃO FRANCISCO,10,Estacionamento irregular
2018,10,7,7-SABADO,13,2,2-TARDE,49,AHÚ,5,Vandalismo
2018,8,5,5-QUINTA,9,3,3-NOITE,62,JARDIM DAS AMÉRICAS,10,Estacionamento irregular
2015,8,7,7-SABADO,22,2,2-TARDE,8,FAZENDINHA,9,Uso de substância ilícita
2015,2,6,6-SEXTA,20,3,3-NOITE,45,ÁGUA VERDE,1,Transporte Coletivo
2020,6,2,2-SEGUNDA,8,2,2-TARDE,45,ÁGUA VERDE,7,Invasão de equipamento/patrimônio público
2015,6,1,1-DOMINGO,7,3,3-NOITE,25,SÍTIO CERCADO,1,Transporte Coletivo
2019,2,6,6-SEXTA,15,4,4-MADRUGADA,9,CIDADE INDUSTRIAL,6,Arrombamento
2018,8,7,7-SABADO,11,2,2-TARDE,41,BACACHERI,9,Uso de substância ilícita
2017,12,2,2-SEGUNDA,4,3,3-NOITE,23,SÃO FRANCISCO,9,Uso de substância ilícita
2020,1,7,7-SABADO,4,4,4-MADRUGADA,5,CENTRO,4,Pichação
2016,3,6,6-SEXTA,25,4,4-MADRUGADA,2,ALTO DA RUA XV,4,Pichação
2019,2,5,5-QUINTA,14,2,2-TARDE,5,CENTRO,1,Transporte Coletivo
2018,2,3,3-TERCA,13,1,1-MANHA,69,UMBARÁ,6,Arrombamento
2019,1,2,2-SEGUNDA,14,2,2-TARDE,25,SÍTIO CERCADO,9,Uso de substância ilícita
2017,4,1,1-DOMINGO,9,2,2-TARDE,4,TATUQUARA,4,Pichação
2018,5,7,7-SABADO,12,3,3-NOITE,25,SÍTIO CERCADO,5,Vandalismo
2018,11,7,7-SABADO,17,4,4-MADRUGADA,5,CENTRO,8,Desordem
2020,2,3,3-TERCA,25,2,2-TARDE,9,CIDADE INDUSTRIAL,7,Invasão de equipamento/patrimônio público
2016,1,2,2-SEGUNDA,25,2,2-TARDE,1,XAXIM,7,Invasão de equipamento/patrimônio público
2017,8,5,5-QUINTA,3,3,3-NOITE,31,UBERABA,3,Disparo de Alarme (violação)
2019,6,7,7-SABADO,1,1,1-MANHA,15,CAPÃO RASO,8,Desordem
2019,3,3,3-TERCA,5,2,2-TARDE,41,BACACHERI,9,Uso de substância ilícita
2020,3,4,4-QUARTA,11,2,2-TARDE,19,BOQUEIRÃO,10,Estacionamento irregular
2017,4,7,7-SABADO,29,1,1-MANHA,25,SÍTIO CERCADO,9,Uso de substância ilícita
2016,11,5,5-QUINTA,3,3,3-NOITE,5,CENTRO,9,Uso de substância ilícita
2017,3,4,4-QUARTA,29,4,4-MADRUGADA,9,CIDADE INDUSTRIAL,7,Invasão de equipamento/patrimônio público
2018,5,7,7-SABADO,26,4,4-MADRUGADA,19,BOQUEIRÃO,6,Arrombamento
2018,2,4,4-QUARTA,21,1,1-MANHA,45,ÁGUA VERDE,5,Vandalismo
2015,5,7,7-SABADO,23,1,1-MANHA,5,CENTRO,8,Desordem
2020,11,2,2-SEGUNDA,16,3,3-NOITE,38,BOA VISTA,10,Estacionamento irregular
2017,5,3,3-TERCA,23,1,1-MANHA,25,SÍTIO CERCADO,1,Transporte Coletivo
2015,2,6,6-SEXTA,6,1,1-MANHA,9,CIDADE INDUSTRIAL,1,Transporte Coletivo
2016,1,2,2-SEGUNDA,18,4,4-MADRUGADA,25,SÍTIO CERCADO,3,Disparo de Alarme (violação)
2017,1,1,1-DOMINGO,8,3,3-NOITE,8,FAZENDINHA,4,Pichação
2017,9,1,1-DOMINGO,17,3,3-NOITE,11,PAROLIN,4,Pichação
2015,1,7,7-SABADO,31,4,4-MADRUGADA,30,CAJURU,5,Vandalismo
2020,7,2,2-SEGUNDA,20,3,3-NOITE,12,ALTO BOQUEIRÃO,7,Invasão de equipamento/patrimônio público
2015,6,1,1-DOMINGO,21,1,1-MANHA,16,LINDÓIA,9,Uso de substância ilícita
2020,4,7,7-SABADO,4,2,2-TARDE,5,CENTRO,7,Invasão de equipamento/patrimônio público
2017,7,7,7-SABADO,15,2,2-TARDE,34,SÃO JOÃO,7,Invasão de equipamento/patrimônio público
2017,3,4,4-QUARTA,8,4,4-MADRUGADA,12,ALTO BOQUEIRÃO,1,Transporte Coletivo
2015,10,5,5-QUINTA,1,3,3-NOITE,45,ÁGUA VERDE,4,Pichação
2019,3,6,6-SEXTA,15,1,1-MANHA,15,CAPÃO RASO,8,Desordem
2018,9,5,5-QUINTA,13,3,3-NOITE,66,JUVEVÊ,1,Transporte Coletivo
2015,5,6,6-SEXTA,1,4,4-MADRUGADA,9,CIDADE INDUSTRIAL,9,Uso de substância ilícita
2018,8,1,1-DOMINGO,5,2,2-TARDE,18,NOVO MUNDO,1,Transporte Coletivo
2018,10,3,3-TERCA,9,3,3-NOITE,59,PRADO VELHO,1,Transporte Coletivo
2018,8,4,4-QUARTA,29,4,4-MADRUGADA,31,UBERABA,3,Disparo de Alarme (violação)
2015,5,1,1-DOMINGO,24,3,3-NOITE,3,PINHEIRINHO,8,Desordem
2015,5,2,2-SEGUNDA,18,3,3-NOITE,25,SÍTIO CERCADO,1,Transporte Coletivo
2019,12,7,7-SABADO,14,4,4-MADRUGADA,32,BATEL,5,Vandalismo
2015,10,7,7-SABADO,3,4,4-MADRUGADA,31,UBERABA,2,Cão solto em via pública
2015,5,6,6-SEXTA,15,2,2-TARDE,5,CENTRO,9,Uso de substância ilícita
2018,6,7,7-SABADO,23,2,2-TARDE,28,PORTÃO,5,Vandalismo
